"","exp","Tissue"
"GTEX-13FTZ-0726-SM-5IFFY",4.3163,"Liver"
"GTEX-X4EP-1026-SM-4QAS5",0.2519,"Liver"
"GTEX-131YS-1626-SM-5HL6C",2.2278,"Liver"
"GTEX-1269C-0626-SM-5FQSS",1.0579,"Liver"
"GTEX-13N11-0926-SM-5IJG2",0.3398,"Liver"
"GTEX-139YR-0226-SM-5IFEM",0.3122,"Liver"
"GTEX-YFC4-1526-SM-5IFJS",0.8873,"Liver"
"GTEX-Y5LM-0426-SM-4VBRO",0.5837,"Liver"
"GTEX-Z9EW-0426-SM-5CVM9",0.2109,"Liver"
"GTEX-13FLV-0326-SM-5N9DJ",2.8024,"Liver"
"GTEX-14C38-1526-SM-5RQJ7",0,"Liver"
"GTEX-ZPU1-0826-SM-57WG2",0.4357,"Liver"
"GTEX-12KS4-1326-SM-5LUB3",1.1005,"Liver"
"GTEX-ZTPG-1426-SM-51MT3",0.1301,"Liver"
"GTEX-Y5V5-0926-SM-4VBPZ",6.1096,"Liver"
"GTEX-YECK-1926-SM-4W21H",2.7661,"Liver"
"GTEX-12WSG-0626-SM-5FQTQ",0.04,"Liver"
"GTEX-ZVT4-0626-SM-5E45T",0.5819,"Liver"
"GTEX-14A5I-1726-SM-5QGQ5",0.2024,"Liver"
"GTEX-14E1K-0326-SM-5S2PE",1.2422,"Liver"
"GTEX-11TUW-1726-SM-5BC5C",0.0607,"Liver"
"GTEX-1192X-1026-SM-5H12P",0.6065,"Liver"
"GTEX-ZAB4-0826-SM-5LU9D",0.1805,"Liver"
"GTEX-145MO-2326-SM-5NQ9K",0.189,"Liver"
"GTEX-YEC4-0826-SM-5P9FV",0.2865,"Liver"
"GTEX-145MF-0826-SM-5QGQA",0.9896,"Liver"
"GTEX-13O3O-1826-SM-5IFGW",0.2714,"Liver"
"GTEX-11DXY-0526-SM-5EGGQ",1.8058,"Liver"
"GTEX-11OF3-0726-SM-5BC4Z",2.8132,"Liver"
"GTEX-ZF2S-3026-SM-4WWCH",1.4286,"Liver"
"GTEX-ZVT3-1626-SM-5GU66",2.2693,"Liver"
"GTEX-14753-1626-SM-5NQ9L",0.4852,"Liver"
"GTEX-ZZPU-0426-SM-5GZYH",0.9518,"Liver"
"GTEX-X261-1726-SM-4PQYT",0.614,"Liver"
"GTEX-12WSM-0726-SM-5GCOW",0.8858,"Liver"
"GTEX-WFON-1726-SM-5CHT5",0,"Liver"
"GTEX-T6MN-1226-SM-5CHSL",0,"Liver"
"GTEX-TSE9-1126-SM-5CHRH",0,"Liver"
"GTEX-U8XE-1526-SM-5CHRK",0,"Liver"
"GTEX-W5X1-0126-SM-5CHR9",0,"Liver"
"GTEX-U3ZN-0226-SM-3DB8D",0.535,"Liver"
"GTEX-OOBJ-0826-SM-3NB2K",0.7927,"Liver"
"GTEX-P44G-1126-SM-3NM9D",0.1505,"Liver"
"GTEX-T6MN-1226-SM-3NMA5",4.0246,"Liver"
"GTEX-P78B-1326-SM-3P611",2.4418,"Liver"
"GTEX-O5YT-0826-SM-3TW8N",0.1022,"Liver"
