"","exp","Tissue"
"GTEX-ZXES-0826-SM-5E43C",7.2103,"Breast - Mammary Tissue"
"GTEX-144GM-0926-SM-5O994",0.3598,"Breast - Mammary Tissue"
"GTEX-1117F-2826-SM-5GZXL",1.0673,"Breast - Mammary Tissue"
"GTEX-ZUA1-1526-SM-59HLS",0.7192,"Breast - Mammary Tissue"
"GTEX-ZV7C-1826-SM-5NQ83",2.872,"Breast - Mammary Tissue"
"GTEX-11ILO-2226-SM-5A5L1",2.1153,"Breast - Mammary Tissue"
"GTEX-12WSB-0626-SM-59HJO",1.1628,"Breast - Mammary Tissue"
"GTEX-ZDTT-2126-SM-5S2OJ",0.4551,"Breast - Mammary Tissue"
"GTEX-139TU-0626-SM-5KM3X",1.728,"Breast - Mammary Tissue"
"GTEX-14ABY-2126-SM-5QGQZ",1.3191,"Breast - Mammary Tissue"
"GTEX-12KS4-0126-SM-5Q5A5",0.9759,"Breast - Mammary Tissue"
"GTEX-145MO-0826-SM-5NQBL",0.7352,"Breast - Mammary Tissue"
"GTEX-1399U-1826-SM-5PNZ1",1.8426,"Breast - Mammary Tissue"
"GTEX-ZVT4-1026-SM-57WC4",0.3107,"Breast - Mammary Tissue"
"GTEX-11P81-1926-SM-5BC53",4.7808,"Breast - Mammary Tissue"
"GTEX-ZAJG-0626-SM-5HL8X",1.0252,"Breast - Mammary Tissue"
"GTEX-ZYWO-2326-SM-5GZY4",0.6455,"Breast - Mammary Tissue"
"GTEX-117XS-1926-SM-5GICO",0.3473,"Breast - Mammary Tissue"
"GTEX-132Q8-1426-SM-5EGK7",5.8626,"Breast - Mammary Tissue"
"GTEX-11LCK-2426-SM-5HL5F",1.8697,"Breast - Mammary Tissue"
"GTEX-11ZUS-0826-SM-5FQUY",0.491,"Breast - Mammary Tissue"
"GTEX-13QIC-2326-SM-5LU5N",0.8673,"Breast - Mammary Tissue"
"GTEX-13113-1726-SM-5GCOO",0.6736,"Breast - Mammary Tissue"
"GTEX-11ONC-2126-SM-5HL6E",0.8192,"Breast - Mammary Tissue"
"GTEX-ZQUD-1926-SM-51MSA",0.2524,"Breast - Mammary Tissue"
"GTEX-YEC3-1026-SM-5IFI5",0.1744,"Breast - Mammary Tissue"
"GTEX-1313W-0826-SM-5EQ4T",0.9393,"Breast - Mammary Tissue"
"GTEX-ZEX8-2226-SM-57WC6",3.4839,"Breast - Mammary Tissue"
"GTEX-13D11-1026-SM-5IJFB",0.7815,"Breast - Mammary Tissue"
"GTEX-ZC5H-2626-SM-5J2MG",4.8623,"Breast - Mammary Tissue"
"GTEX-1211K-1926-SM-5EQLB",1.5489,"Breast - Mammary Tissue"
"GTEX-13FHO-0826-SM-5L3E8",1.1787,"Breast - Mammary Tissue"
"GTEX-11TT1-2126-SM-5GU5Y",1.1337,"Breast - Mammary Tissue"
"GTEX-ZLV1-1426-SM-4WWES",5.1369,"Breast - Mammary Tissue"
"GTEX-13NZ9-1026-SM-5MR5K",2.5549,"Breast - Mammary Tissue"
"GTEX-U412-1826-SM-4DXTJ",1.2817,"Breast - Mammary Tissue"
"GTEX-Y111-2026-SM-4SOJA",3.0754,"Breast - Mammary Tissue"
"GTEX-13S86-1226-SM-5S2OA",0.1152,"Breast - Mammary Tissue"
"GTEX-139T6-1626-SM-5PNYZ",0.221,"Breast - Mammary Tissue"
"GTEX-13CF3-2126-SM-5IFJP",0.0424,"Breast - Mammary Tissue"
"GTEX-117YX-1426-SM-5H12H",0.2275,"Breast - Mammary Tissue"
"GTEX-Y3IK-2326-SM-4WWDT",7.9332,"Breast - Mammary Tissue"
"GTEX-QEG5-0726-SM-4R1JQ",3.1565,"Breast - Mammary Tissue"
"GTEX-13O61-1826-SM-5KM4I",0.1993,"Breast - Mammary Tissue"
"GTEX-11NSD-0926-SM-5N9DR",0.9048,"Breast - Mammary Tissue"
"GTEX-11WQC-1726-SM-5GU4W",0.6807,"Breast - Mammary Tissue"
"GTEX-ZVZQ-0826-SM-51MRF",0.5464,"Breast - Mammary Tissue"
"GTEX-144GL-2026-SM-5LU3O",1.1158,"Breast - Mammary Tissue"
"GTEX-13O3O-0826-SM-5K7WE",0.1872,"Breast - Mammary Tissue"
"GTEX-Y5V6-2126-SM-4WWFX",0.267,"Breast - Mammary Tissue"
"GTEX-13PVQ-1026-SM-5KM3M",0.1449,"Breast - Mammary Tissue"
"GTEX-13FTX-1126-SM-5N9EN",0.4814,"Breast - Mammary Tissue"
"GTEX-ZU9S-1926-SM-5NQBP",1.6771,"Breast - Mammary Tissue"
"GTEX-ZYW4-0826-SM-5GIDG",0.3455,"Breast - Mammary Tissue"
"GTEX-ZT9W-2026-SM-51MRA",0.0366,"Breast - Mammary Tissue"
"GTEX-1192X-2326-SM-5987X",1.2888,"Breast - Mammary Tissue"
"GTEX-147F4-2826-SM-5NQBN",2.4434,"Breast - Mammary Tissue"
"GTEX-YJ8O-2226-SM-5IFHW",1.2699,"Breast - Mammary Tissue"
"GTEX-11P82-1326-SM-5HL62",0.0503,"Breast - Mammary Tissue"
"GTEX-YB5E-1726-SM-5IFJ3",0.1442,"Breast - Mammary Tissue"
"GTEX-14E6E-1326-SM-5S2NR",0.489,"Breast - Mammary Tissue"
"GTEX-ZDTT-2126-SM-5S2O7",0.3244,"Breast - Mammary Tissue"
"GTEX-146FH-0826-SM-5SI8T",1.0301,"Breast - Mammary Tissue"
"GTEX-11EI6-0626-SM-5985T",2.0185,"Breast - Mammary Tissue"
"GTEX-139T8-0826-SM-5L3DE",1.1788,"Breast - Mammary Tissue"
"GTEX-Y114-2026-SM-4TT7L",1.3589,"Breast - Mammary Tissue"
"GTEX-11DXY-2326-SM-5GICW",0.3931,"Breast - Mammary Tissue"
"GTEX-ZDXO-0126-SM-5S2ND",1.1106,"Breast - Mammary Tissue"
"GTEX-13O3P-0826-SM-5L3DH",0.8277,"Breast - Mammary Tissue"
"GTEX-11DXZ-1926-SM-5GZZL",1.3588,"Breast - Mammary Tissue"
"GTEX-YFC4-1426-SM-5IFJG",7.26,"Breast - Mammary Tissue"
"GTEX-QMRM-1626-SM-4R1KV",0.4688,"Breast - Mammary Tissue"
"GTEX-ZYFC-0826-SM-5E44K",0.5115,"Breast - Mammary Tissue"
